Address,Latitude,Longitude,MapAddress,Name
"Murree Road, Bhara kahu Islamabad",33.74156960000001,73.18315890000001,"Murree Road, Bhara Kahu, Islamabad, Islamabad Capital Territory, Pakistan",Nazir Medical Store
Khanna Pull,33.6292743,73.1134983,"Khanna Pul, Khanna Rawalpindi, Islamabad Capital Territory, Pakistan",Al-Barkah Medical Store
"I&T Centre, G-9/4 Islamabad",33.6856724,73.0445639,"Nishtar Market, Plot 21/1, St 55, G-9-4, G-9, G 9/4 G-9, Islamabad, Islamabad Capital Territory 44090, Pakistan",Umer Medical Store
"Main Blue Ward, Ghouri Town, Phase-5",33.6284214,73.1391008,"Ghori Town Rd, Islamabad, Islamabad Capital Territory, Pakistan",Your’s Pharmacy
"Rehmat Centre, I-8 Markaz Islamabad",33.66649,73.07571999999999,"I-8 Markaz, Tipu Sultan Rd, I-8 Markaz, I-8, Islamabad, ICT, Pakistan",Spidel International Distributors
"School Road, Super Market, F-6",33.729703,73.0753651,"School Rd, F-6 Markaz F 6 Markaz F-6, Islamabad, Islamabad Capital Territory 44000, Pakistan",Shaheen Pharmacy
"Margalla Town, Phase-I",33.6693282,73.1061921,"Margalla Town, Orchard Scheme, Islamabad, Islamabad Capital Territory, Pakistan",GKB Distribuor
"Rana Market, F-7/2",33.7213293,73.0515184,"F-7/2 F 7/2 F-7, Islamabad, Islamabad Capital Territory, Pakistan",Dewash Medical Store
"Bhera Pull, Bhara kahu Islamabad",32.4770072,72.91357339999999,"Bhera, Sargodha, Punjab, Pakistan",Galyat Medical Store
Sector G-12,31.4522476,74.3167481,"Bilal Medical Store, Somi Centre Road, Sector A2 Block 4 Sector A 2 Township, Lahore, Punjab, Pakistan",Sheraz Medical Store
I-9 Markaz Islamabad,33.6537148,73.05058489999999,"I-9 Markaz I 9 Markaz I-9, Islamabad, Islamabad Capital Territory, Pakistan",Islamabad Pharmacy
I-10/3 Islamabad,33.6537916,73.03905189999999,"I-10/3 I-10, Islamabad, Islamabad Capital Territory, Pakistan",Vety Care (Pvt) Ltd Distributors
"Sitara Market, G-7 Markaz Islamabad",33.705017,73.06791290000001,"Sitara Market، G 7 Markaz G-7, Islamabad, Islamabad Capital Territory, Pakistan",Kazim Medical Store
Jinnah Avenue Centurus Shopping Mall F-8/1 Islamabad,33.7073674,73.0492028,"The Centaurus Mall, Jinnah Avenue, F 8/4 F-8, Islamabad, Islamabad Capital Territory, Pakistan",Nelson Pharmacy
