Address,Latitude,Longitude,MapAddress,Name,"Registration Status(Reg No,& Date & Relevant Law"
"BPWO’s Complex Building, Rawal Town, Islamabad. 051-821728; 051- 446187 ",33.6866977,73.11873270000001,"Rawal Town, Islamabad, Islamabad Capital Territory, Pakistan",Business and Professional Women Organization (BPWO) ,"VSWA/ICT/441, Date 24.4.2004 VSWA Ordinance 1961 "
"No. 12-D , SNC Center , Fazal-e-Haq Road , Blue Area , Islamabad. 051- 2870890 ",33.7172931,73.07078,"Blue Area, Islamabad, Islamabad Capital Territory, Pakistan",Campaign Against Terrorism (CAT) ,"VSWA/ICT/499, Date 03.02..2007, VSWA Ordinance 1961 "
"Directorate of Welfare, PAF Complex, E-9 Islamabad. 920054675 ",33.719469,73.0139616,"E-9, Islamabad, Islamabad Capital Territory, Pakistan",Central Pakistan Air Force Retired Officers Associations( Central PAFROA) ,"VSWA/ICT/452, Date 14.10.2004 VSWA Ordinance 1961 "
Babar Market Chatta Bukhtawar Islamabad ,33.6616936,73.14381159999999,"Chak Shahzad, Islamabad, Islamabad Capital Territory, Pakistan",Chatta Bukhtawar Welfare Society ,"VSWA/ICT/371, Date 28.2.2002 VSWA Ordinance 1961 "
House No.208 Model Town Humak Islamabad ,33.5386527,73.148237,"Model Town Humak, Islamabad, Islamabad Capital Territory, Pakistan",Child Welfare Association. ,"VSWA/ICT/75, Date 18.12.1989 VSWA Ordinance 1961 "
"Flat No:125, Ist Floor, Posh Arcade, G-9 Markaz, Islamabad. ",35.7698832,71.7741103,"Chitrāl, Chitral, Khyber Pakhtunkhwa, Pakistan",Chitral Al-Karim Welfare & Development Organization ,"VSWA/ICT/449, Date 6.9.2004 VSWA Ordinance 1961 "
H.No.96 Khyban-e-Iqbal F-8/2 Islamabad. 051-20063224 ,33.7134591,73.0338865,"F-8/2 F 8/2 F-8, Islamabad, Islamabad Capital Territory, Pakistan",Citizen Welfare Association. ,"VSWA/ICT/335, Date 2.1.2000 VSWA Ordinance 1961 "
"Road, Islamabad.051-5825291; 0345- 5123791 ",33.6844202,73.04788479999999,"Islamabad, Islamabad Capital Territory, Pakistan",Programme (CLIP) ,6/9/2008 VSWA Ordinance 1961 
Model Town Humak Islamabad 051- 4911034 ,33.5386527,73.148237,"Model Town Humak, Islamabad, Islamabad Capital Territory, Pakistan",Da-ul-Uloom Al-Jamiat Abasia ,"VSWA/ICT/217, Date 28.1.1994 VSWA Ordinance 1961 "
"Dhoke Haji Abdul Hameed, Madina Town, Bharakau, Islamabad. ",33.5825672,73.1511872,"Madina Town, Islamabad, Islamabad Capital Territory, Pakistan",Daylight ,"VSWA/ICT/464,Date 7.2.2005 VSWA Ordinance 1961 "
"Deputy Commissioner Office, F-8 Markaz, Islamabad. ",33.6900212,73.05581049999999,"Aiwan-e-Sanat-o-Tijarat, Islamabad, Islamabad Capital Territory, Pakistan",Deputy Commissioner & its Attached Department Employees Welfare Association ,"VSWA/ICT/533, Date 7/10/2008 VSWA Ordinance 1961 "
"#.9-B, Aslam Market Aabpara Islamabad.051-2277733 ",33.6601929,72.97853529999999,"G-12, Islamabad, Islamabad Capital Territory, Pakistan",EHA Centre for Emergent Strategies ,"VSWA/ICT/472, Date 02.07.2005, VSWA Ordinance 1961 "
"H. No.236, St. # 45, F-11/3, Islamabad 051-2298708 ",33.6916162,72.99165339999999,"236 Street 45, F-11/3 F 11/3 F-11, Islamabad, Islamabad Capital Territory, Pakistan",Ehsas Foundation ,"VSWA/ICT/488, Date 18.03.2006 VSWA Ordinance 1961 "
House no.19 St.36 G-6/2 Islamabad. 051-2825234 ,33.7153321,73.0832708,"Street 36, G 6/2 G-6, Islamabad, Islamabad Capital Territory, Pakistan",Ever Green Organization ,"VSWA/ICT/378, Date 13.5.2002 VSWA Ordinance 1961 "
"#.2, Opp:Daewoo Booking Office F-8 Markaz, Islamabad. ",33.6844202,73.04788479999999,"Islamabad, Islamabad Capital Territory, Pakistan",Fahmida Memorial Welfare Foundation ,"VSWA/ICT/463, Date 4.2.2005 VSWA Ordinance 1961 "
No.9-C Scheme II Park Road Chakshazad Islamabad ,33.6715556,73.146428,"Park Rd, Islamabad, Islamabad Capital Territory, Pakistan",FAP ,"VSWA/ICT/392, Date 4.9.2002 VSWA Ordinance 1961 "
"H.No. 2039, St.No. 10, Barma Town, Lehtrar Road, Islamabad 0333- 5344843 ",39.6172063,-8.6521422,"Fátima, 2495 Fátima, Portugal",Fatima Welfare Society ,"VSWA/ICT/482, Date 27.12.2005, VSWA Ordinance 1961 "
"H# 18, Gomal Road, E-7, Islamabad. 051-2275205 ",33.7050591,73.05042759999999,"Ibn-e-Sina Rd, G 8/3 G-8, Islamabad, Islamabad Capital Territory, Pakistan",Friends of PIMS (FOP) ,"VSWA/ICT/429, Date 15.1.2004 VSWA Ordinance 1961 "
Kot Hathial Shumali B.Kau Islamabad ,33.7204997,73.0405277,"Islamabad Capital Territory, Pakistan",Friends Welfare Society ,"VSWA/ICT/153, Date 5.5.1992 VSWA Ordinance 1961 "
Noor Pur Shahan Muslim Colony Bari Imam Islamabad. ,33.737029,73.1098806,"Muslim Colony Nurpur Shahan, Islamabad, Islamabad Capital Territory, Pakistan",Frontier Welfare Committee ,"VSWA/ICT/118, Date 16.7.1991 VSWA Ordinance 1961 "
"Office No.8, First Floor, Mehmood Plaza, Fazl-e-Haq Road, Blue Area, Islamabad. 051-2100341 ",33.7144,73.06671,"Ali Complex, AK Fazal-ul-Haq Rd, Block G, Blue Area, Islamabad, ICT, Pakistan",Global Peace Pioneers ,"VSWA/ICT/530, Date 6/9/2008 VSWA Ordinance 1961 "
"Flat # 10, Block 12-E, Jinnah Super F- 7 Markaz, Islamabad. ",33.7235293,73.0596724,"College Rd, F 7/3 F-7, Islamabad, Islamabad Capital Territory, Pakistan",Global Vision Organization ,"VSWA/ICT/540, Date 7/3/2009 VSWA Ordinance 1961 "
Sharifabad Tarlai Kalan Islamabad. 0300-5049485 ,33.6423518,73.1511872,"Tarlai Kalan, Islamabad, Islamabad Capital Territory, Pakistan",Gulistan Welfare Society ,"VSWA/ICT/367, Date 26.1.2002 VSWA Ordinance 1961 "
House No.24 Grid Station Road Bharakau Islamabad. 051-2231829 ,33.6844202,73.04788479999999,"Islamabad, Islamabad Capital Territory, Pakistan",Gum-Gusar ,"VSWA/ICT/364, Date 8.1.2002 VSWA Ordinance 1961 "
No.3&4 Mezzanine Floor Kashmir Plaza Blue Area Islamabad.051- 2871533 ,33.7234548,73.0839927,"Huma Plaza, AK Fazal-ul-Haq Rd, Block B, Blue Area, Islamabad, ICT, Pakistan",Ham Kadam ,"VSWA/ICT/393, Date 4.9.2002 VSWA Ordinance 1961 "
"H.No.15-B School Road F-7/1, Islamabad.051-2824350 ",33.7211322,73.0582022,"6 Bhittai Rd, F-7 Markaz F 7 Markaz F-7, Islamabad, Islamabad Capital Territory 44000, Pakistan",Hayat Orthodontic and Dental Complex ,"VSWA/ICT/389, Date 24.8.2002 VSWA Ordinance 1961 "
"Dhoke Jillani, Data Ganj Bakhsh Road, Near Poultry Farm, Bharakau, Islamabad. 051-2550470 ",33.6439812,73.08187509999999,"Data Ganj Bakhsh Road, Rawalpindi, Punjab, Pakistan",Hayat-e-Nau ,"VSWA/ICT/525, Date 4/6/2008 VSWA Ordinance 1961 "
