Address,Latitude,Longitude,MapAddress,Name,Total Employees
42/2 I&T CENTRE G-8/1 Islamabad ,33.6415447,73.0772302,"1st Floor, Dubai Plaza,, 6th Road Crossing, Murree Road,, Block A Satellite Town, Rawalpindi, Punjab 44000, Pakistan",N.N ,1
45/1 i&t centre G-8 Islamabad ,33.6970032,73.0567611,"G-8/4 G 8/4 G-8, Islamabad, Islamabad Capital Territory, Pakistan",ali ,1
shop # o 67 i&t center G-9/4 Islamabad ,33.6839995,73.04105410000001,"Street 55, G-9/4 G 9/4 G-9, Islamabad, Islamabad Capital Territory, Pakistan",awais autos ,1
2-37/ sethi plaza Fazal e haq road blue area Islamabad ,33.725521,73.08712400000002,"Sethi Plaza, Jinnah Ave, A Block, Blue Area, G 6/3 Blue Area, Islamabad, Islamabad Capital Territory 44000, Pakistan",voyler pvt ltd ,18
90 Razia shoping plaza blue area ,33.7172931,73.07078,"Blue Area, Islamabad, Islamabad Capital Territory, Pakistan",express movers Islamabad ,41
"hayal hall, block 2, G-5/1, Islamabad ",33.719953,73.09901,"G-5/1 G-5, Islamabad, Islamabad Capital Territory, Pakistan",ocean pakistan ltd ,103
6 chennab market G-7 Islamabad ,33.6844202,73.04788479999999,"Islamabad, Islamabad Capital Territory, Pakistan",waheed & sons ,4
chanab merket G-7/1 Islamabad ,33.6982479,73.0656152,"G-7/1 G 7/1 G-7, Islamabad, Islamabad Capital Territory, Pakistan",U.N autos ,3
678 aabpara market Islamabad ,33.707011,73.0877455,"699 Khayaban-e-Suhrwardy, Barakahu G 6/1 G-6, Islamabad, Islamabad Capital Territory, Pakistan",new electician ,2
13/w blue area Islamabad ,33.72531,73.08573679999999,"13 Jinnah Ave, G 6/3 Blue Area, Islamabad, Islamabad Capital Territory, Pakistan",hotel civic international ,35
G-7/4 -1 Islamabad ,33.7022919,73.0749601,"Street 37, G 7/4 G-7, Islamabad, Islamabad Capital Territory, Pakistan",alvi auctioners ,3
"Shop# 9 block G, super market, Islamabad ",33.6844202,73.04788479999999,"Islamabad, Islamabad Capital Territory, Pakistan",mother care ,3
shop # 16-A block 12-e jinnah supper market Islamabad ,33.7235293,73.0596724,"College Rd, F 7/3 F-7, Islamabad, Islamabad Capital Territory, Pakistan",new exotica ,1
G/9 markaz Islamabad ,33.6876775,73.0338865,"G-9 Markaz G 9 Markaz G-9, Islamabad, Islamabad Capital Territory, Pakistan",afzal auto service ,2
G 9/ markaz Islamabad ,33.6876775,73.0338865,"G-9 Markaz G 9 Markaz G-9, Islamabad, Islamabad Capital Territory, Pakistan",bashir cycly works ,1
shop # 1 haideri market G-9/2 Islamabad ,33.6885138,73.0230224,"G-9/2 G 9/2 G-9, Islamabad, Islamabad Capital Territory 44000, Pakistan",anbala sweets ,5
st # .6 block # B super market Islamabad ,33.6844202,73.04788479999999,"Islamabad, Islamabad Capital Territory, Pakistan",peek resturant ,5
shop # 3 ali complex blue area Islamabad ,33.7144,73.06671,"Ali Complex, AK Fazal-ul-Haq Rd, Block G, Blue Area, Islamabad, ICT, Pakistan",shell display & service ,3
Plot # 276 I-9/3 Islamabad ,33.6617123,73.0567611,"I-9/3 I-9, Islamabad, Islamabad Capital Territory, Pakistan",ICI PAK LTD ,3
68-E F-7 /G-7 jinnah avenue ,33.7191444,73.07328559999999,"Jinnah Ave, Islamabad, Islamabad Capital Territory, Pakistan",pak tel ltd ,101
jinna super market Islamabad,33.7211528,73.0575267,"Opposite To Flower Market، College Road، F 7 Markaz F-7, Islamabad, Islamabad Capital Territory, Pakistan",rizwan resturant ,
house # 130 street # 37 sector F-10/1 Islamabad ,33.6915013,73.0080576,"F-10, Islamabad, Islamabad Capital Territory, Pakistan",saad trading ent ,1
blue area Islamabad ,33.7172931,73.07078,"Blue Area, Islamabad, Islamabad Capital Territory, Pakistan",pine craft ,
kohsar market Islamabad ,33.7331531,73.0739955,"6 Street 10, F-6/3 F 6/3 F-6, Islamabad, Islamabad Capital Territory, Pakistan",crockery shop ,
10-B super market Islamabad ,33.6844202,73.04788479999999,"Islamabad, Islamabad Capital Territory, Pakistan",mickey mouse ,
shop # 1 plot # 1-b F-10 markaz Islamabad ,33.696637,73.012149,"Shop # 7l Ajaib Plaza Inside Gul Ahmed's Parking، Pakistan، F 10/3 F-10, Islamabad, Islamabad Capital Territory 44000, Pakistan",chen chinex ,1
12-D Bewal plaza blue area Islamabad ,33.68721,73.03531,"Margala Rd N, G-9 Markaz, G-9, Islamabad, ICT, Pakistan",agha jee printer ,2
plot # 87 st 34 Flat # 4 I&T center G-10-1 Islamabad ,33.6734336,73.0080821,"Service Rd W, Islamabad, Islamabad Capital Territory, Pakistan",k.J interprises ,3
2-52 waheed plaza blue area Islamabad ,33.7190825,73.07490039999999,"4th Floor, Waheed Plaza, Near Kalsoom Hospital,, G 6/2 Blue Area, Islamabad, Islamabad Capital Territory, Pakistan",travel kings international pvt ltd ,9
6-A Basement 18-o mushtaq manssion blue area Islamabad ,33.7172931,73.07078,"Blue Area, Islamabad, Islamabad Capital Territory, Pakistan",fazal motors ,1
6-B Basement mushtaq manssion Blue area Islamabad ,33.7172931,73.07078,"Blue Area, Islamabad, Islamabad Capital Territory, Pakistan",Name not available,1
nazim uddin road F-6 Blue area Islamabad ,33.7188946,73.0696978,"Nazim-ud-din Rd, Blue Area, Islamabad, Islamabad Capital Territory, Pakistan",trade wing associates pvt ltd ,4
"h.# 50 bazar road G-6-4, Islamabad ",33.712138,73.089315,"G-6-4, G-6, Islamabad, ICT, G-6/4 G 6/4 G-6, Islamabad, Islamabad Capital Territory, Pakistan",EMBA Corporation pvt ltd ,13
I-R Plaza F-10 markaz Islamabad ,33.6943859,73.0136172,"Sumbal Road, 1 R Plaza, Mustafa Mansion، F 10/4 F-10, Islamabad, Islamabad Capital Territory 44000, Pakistan",resturant ,6
shop # 1 I&T Cetnre G-9/1 Islamabad ,33.6824079,73.03019680000001,"G-9/1 G 9/1 G-9, Islamabad, Islamabad Capital Territory, Pakistan",zubair autos ,2
151 i&t center G9/1 Islamabad ,33.6750479,73.0246161,"G-10/4 I T Centre, corner plot, Corner Commercial Plot of St. 40 & 38�� 40 Street 38, G-10/4 G 10/4 G-10, Islamabad, Islamabad Capital Territory, Pakistan",metal tech ,3
shop # 3-4 abbas center 87-w blue area Islamabad ,33.7172931,73.07078,"Blue Area, Islamabad, Islamabad Capital Territory, Pakistan",ali resturant ,5
saha plaza 21 blue area Islamabad ,33.720143,73.073793,"32 1st Floor Beverly Centre Blue Area, F 6/1 Blue Area, Islamabad, Islamabad Capital Territory 44000, Pakistan",book world pvt limited ,2
21-E  huma plaza blue area Islamabad ,33.7220338,73.08126589999999,"Huma Plaza, Jinnah Ave, Block C, Blue Area, G 6/2 Blue Area, Islamabad, Islamabad Capital Territory 44000, Pakistan",good well chimist ,2
hayat hall blick # 2 diplomatic enclave G-5 p.o box 1325 Islamabad ,33.7218964,73.10840519999999,"Ramna 5 Diplomatic Enclave, Islamabad, Islamabad Capital Territory, Pakistan",orient petrolium ,101
industerial triangle kahuta road Islamabad ,33.550962,73.145631,"Plot # 313, Industrial Triangle, Kahuta Road, Islamabad, Punjab 46000, Pakistan",PAK Pvt ltd ,37
shop # 3 20 . I&T center G8-9 Islamabad ,33.6844202,73.04788479999999,"Islamabad, Islamabad Capital Territory, Pakistan",autos ,6
D-9 super market F-6 islamabad ,33.7277802,73.0729934,"F-6, Islamabad, Islamabad Capital Territory, Pakistan",AROS shoes and garments ,3
